title,price,link
Apple iPhone 15 Pro Max (1 TB) - Titânio Preto - Distribuidor Autorizado,12064,https://www.mercadolivre.com.br/apple-iphone-15-pro-max-1-tb-titnio-preto-distribuidor-autorizado/p/MLB1027172719#searchVariation%3DMLB1027172719%26position%3D46%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Xiaomi Redmi Note 13 256gb 8gb Lançamento (global) + Nfe,1289,https://produto.mercadolivre.com.br/MLB-4518673836-xiaomi-redmi-note-13-256gb-8gb-lancamento-global-nfe-_JM#position%3D49%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone 15 (256 GB) - Verde - Distribuidor Autorizado,6499,https://www.mercadolivre.com.br/apple-iphone-15-256-gb-verde-distribuidor-autorizado/p/MLB1027172672#searchVariation%3DMLB1027172672%26position%3D47%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone 14 Plus (128 GB) - Roxo - Distribuidor Autorizado,5299,https://www.mercadolivre.com.br/apple-iphone-14-plus-128-gb-roxo-distribuidor-autorizado/p/MLB1019615337#searchVariation%3DMLB1019615337%26position%3D1%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3D2005624e-a4b7-4575-8240-990421c7c826
Apple iPhone 15 Pro (256 GB) - Titânio Branco - Distribuidor Autorizado,8749,https://www.mercadolivre.com.br/apple-iphone-15-pro-256-gb-titnio-branco-distribuidor-autorizado/p/MLB1027172699#searchVariation%3DMLB1027172699%26position%3D2%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3Def651f1c-0f60-4947-addd-f89b98905909
Apple iPhone 15 (512 GB) - Preto - Distribuidor Autorizado,8499,https://www.mercadolivre.com.br/apple-iphone-15-512-gb-preto-distribuidor-autorizado/p/MLB1027172666#searchVariation%3DMLB1027172666%26position%3D3%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3Def651f1c-0f60-4947-addd-f89b98905909
Apple iPhone 15 Pro Max (1 TB) - Titânio Azul - Distribuidor Autorizado,12128,https://www.mercadolivre.com.br/apple-iphone-15-pro-max-1-tb-titnio-azul-distribuidor-autorizado/p/MLB1027172721#searchVariation%3DMLB1027172721%26position%3D4%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3Def651f1c-0f60-4947-addd-f89b98905909
iPhone 5s 32 GB cinza-espacial,1000,https://www.mercadolivre.com.br/iphone-5s-32-gb-cinza-espacial/p/MLB6007309#searchVariation%3DMLB6007309%26position%3D5%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3Def651f1c-0f60-4947-addd-f89b98905909
iPhone 15 Pro Max Dual SIM 512 GB titânio branco - Distribuidor Autorizado,10829,https://www.mercadolivre.com.br/iphone-15-pro-max-dual-sim-512-gb-titnio-branco-distribuidor-autorizado/p/MLB1027172723#searchVariation%3DMLB1027172723%26position%3D6%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3Def651f1c-0f60-4947-addd-f89b98905909
Apple iPhone 15 Pro (512 GB) - Titânio Azul - Distribuidor Autorizado,10049,https://www.mercadolivre.com.br/apple-iphone-15-pro-512-gb-titnio-azul-distribuidor-autorizado/p/MLB1027172698#searchVariation%3DMLB1027172698%26position%3D7%26search_layout%3Dstack%26type%3Dproduct%26tracking_id%3Def651f1c-0f60-4947-addd-f89b98905909
